,message_id,message_text
50,517935,"Здравствуйте! 😊Подушка Omnia является именно профилактическим ортопедическим изделием:
- Доказано, что подушка снимает мышечное напряжение в шее и обеспечивает физиологически правильное положение позвоночника во время сна 
- Эта модель одобрена/зарегистрирована Росздравнадзором (у нас есть необходимый сертификат, который выложен на сайте). 

Безусловно, если есть какие-то заболевания, связанные с опорно-двигательной системой, мы вначале рекомендуем проконсультироваться с врачом. 

Конечно, нет универсального изделия, которое бы безоговорочно подходило всем людям. Высота валиков Beauty Sleep соответствует размерному ряду S среди стандартных размеров ортопедических подушек. 
Если Ваш рост от 157 до 176 см и размер одежды до 52 включительно - подушка должна подойти.

Последняя фотография не фотошоп 😊
Использование подушки Omnia Beauty Sleep действительно помогает сократить длину и глубину морщин сна, и это подтверждено клиническими испытаниями, проведенными в Испании. Исследования проводились в клинике «Corium Dermatology», Барселона, в 2023 году."
52,517167,"Поздравляю с днём рождения! 🥳 
Рекомендую Hermes sur le Nile зеленый 💚 это моя любовь. 
Guerlain - herba fresca приятные свежий аромат. 
Еще у A. Banderas queen of seduction цитрусовый, но он давольно сладкий. 
Мне ещё очень нравится armand basi - in red именно в красном флаконе, у него какая-то приятная горчинка присутствует с цитрусом."
53,516719,"Parisa запечённая пудра компактная. Красиво смотрится на лице. В самом светлом оттенке прозрачная по сути. 
Недавно ещё кажется Оля рекомендовала рассыпчатую пудру от divage   Тоже с эффектом софтфокуса"
56,516200,"Насчет стиков не знаю, но обычные спф обновлять на голую кожу или, если косметика, все смывать и наносить заново. 

Кстати, если интересно в базовую информацию про спф погрузиться, узнать больше про индексы и время обновления, рекомендую видео доктора Амины, мне в свое время по полочкам прям разложило все."
58,516130,"У меня тяжелые почти прямые ресницы. Завиток держат только так: керлер + водостойкая тушь. Любая другая добавляет тяжести, и они опускаются. 

Мне понравилась водостойкая clio long curling, урвала на скидках в ЗЯ за 900р. Завиток за день не опустился, но ее не получается жирно наслаивать. Она просто делает ресницы чуть лучше и изящнее. Пока что лучшая водостойкая, что у меня была. 

Люблю еще релуи strip it easy (до 300 рублей на скидках, кажется). Смывается чулочками. Завиток от керлера с ней опускается, но не до конца. Из плюсов — можно наслаивать жирненько, делать паучьи лапки и гранж мейки. 

Оля из бюджетных рекомендовала, кажется, водостойкую катрис в голубой тубе. Не пробовала, поэтому про нее ничего не скажу."
59,516120,"Хотела порекомендовать классный карандаш для губ от pastel, зашла на сайт ЗЯ, чтоб проверить, за сколько я его купила, а он оказался не pastel, a parisa 😹 но всё равно отличный, так что напишу про него. Увидела его у другого блогера, понравился оттенок пыльной розы (701). На мне он окисляется, со временем становится значительно темнее, приглушённо-лиловым, такого шикарного холодного оттенка, что просто ах! Мягкий, комфортный, достаточно стойкий, очень бюджетный (145 рублей в Золотом яблоке). Короче, рекомендую, но с оговоркой: обязательно тестировать и ждать, какой цвет получится!"
60,515604,"я жду полного выхода, вчера посмотрела неплохую дораму ""Свадьба невозможна"", рекомендую)
в последнее время очень приятные дорамы вышли - самдали, мой милый лжец, доктор в кризисе, китайская дорама влюбиться... в общем выходных не хватает)"
63,514972,"Пользуюсь другим, тоже по рекомендации Оли, он вообще отличный) 
Только он совершенно иной, матовый и с желтым подтоном, но с синячками хорошо справляется, и не сушит кожу. 
И цена приятная, и расход небольшой, ну всем хорош)
Вот его рекомендую 🌺"
66,513058,"Доброе утро 🔅)
Оля давным-давно рекомендовала и я купила базовую палетку АB - SOFT GLAM. 
Но мои оттенки только: TEMPERA и DUSTY ROSE. Видно на фото))
🐈Кошечки, помогите найти эти оттенки в др.бренде - только люкс. 

Брать из-за 2 цветов палетку сегодня - это добровольное банкротство 🥹"
70,508785,"Обожаю Anny (топ оттенок «like a virgin” + топ super gloss” и ваши ногти просто превосходны на 3-5 дней. Лаки Tintberry тоже супер (кисточка огонь) 
А для восстановления рекомендую Librederm «стволовые клетки». Мне восстановил. 
А вот кальциевый укрепительный от Anny что-то не зашел, кажется ничего и не делает с моими ногтями."
72,508485,"Воняет жутко, помогает хорошо, были прящи на груди, по циклу, на второй день становиться значительно меньше. На лицо наверное не рекомендую. А вообще есть тоники с кислотами. Даже специальные для тела, в виде спрея. Посмотрите"
74,506308,"Мама 60+ пользуется спф в стике, в восторге, косметолог рекомендовала.

У меня крем спф с розовым подтоном. Очень нравился, текстура кайф, но как-то возникли сомнения, а спф 50 ли там. Использую ретинол, вроде как пятна стали появляться на лице. 

Вообще хочу спф брызгающую. Может, кто порекомендует, какой бренд."
76,504622,"ООО недалеко от меня грубо говоря ) я чуть севернее )

Там получается место называется Аптекарский огород. Там оранжереи и очень красиво. Можно посидеть в Чайхоне.

Ещё рекомендую посетить океанариум на ВДНХ. Но без шоу. Там сейчас как то с ними не очень по программе. А вот аквариумы потрясающие."
77,504614,"И прекрасной вам поездки и прогулки по Москве 👍 поситите ботанический сад, там как раз в это время все расцветает и можно посетить оранжиреи. Рекомендую однозначно Зарядье! ) и там есть кафе где все по 300. Но очереди, зато очень 😋 вкусно"
84,503764,"Здравствуйте! Конечно, нет универсального изделия, которое бы подходило вообще всем :) При смене подушки (в том числе переходе с одной ортопедической на другую) важна постепенность. Резкая смена положения шеи иногда неприятно отражается на ощущениях. Поэтому мы рекомендуем следовать проверенной схеме адаптации 🌷"
86,502386,"Рекомендую Оле закрывать комментарии под рекламными постами. Практически все блогеры в Телеге это делают. 
Это спасает от набега хейтеров, и хейтеров от конкурентов. 
Зачем читать негатив? 
Я лично доверяю Оле. Уверена, что дрянной продукт она рекламировать не будет. Ну а покупать или нет, каждый решает сам.

Ещё я удивляюсь людям, пишущим под рекламными постами гадости. 
Им почему то все и всегда должны. Должны записывать для них бесплатный полезный контент без рекламы.
Тратить на это свои деньги, и ничего не получать взамен. 
Должны быть святыми альтруистами! 😀 И ни ни!
Чтобы заработать на рекламе.
Я человек воспитанный, но всё же скажу, извините, прорвало:
- А не пойти ли вам на....
Любители халявы! 😉"
87,502139,"Любой кондиционер для волос хорошо подойдет если его держать на волосах не менее 10 минут. Я всегда покупала Oribe и мне казалось ну что в нем особого, такой же как и другой любой за $5-$10. А моя стилистка посоветовала держать кондиционеры подольше на волосах хотя бы минут десять. Тоже самое и с масками для волос. Наносятся Хоть перед мытьем хоть после мытья. Все они содержат силиконы и какие-то масла. Действие у них одинаковое, только запах разный. Главное после мытья не рекомендуют наносить на кожу головы, а только на длину волос. А на кожу головы наносить лучше перед мытьем. И ещё если у вас есть кислоты для лица 5%-10% то их можно наносить на корни волос минут за 10-30 до мытья примерно раз в неделю и это хорошо очищает скальп. Волосы начинают расти быстрее. Всё остальное это простой маркетинг 🤷‍♀️"
92,501397,"Пробовала все, вышедшие раньше. Держаться так себе, раскрываются по-разному, но всё равно не фонтан. Особенно омаж Black Phantom - ужасная вонища, с оригиналом схожи только совсем верха. Не рекомендую вообще."
93,501117,"Не пробовала. 
Мне Елена из этого чата рекомендовала сыворотку с Вит С от артнфакт, которую нужно активировать (с порошком Вит С), что от него эффект хороший. Там 10% Вит С. 
 Я его только заказала, но открою не скоро - неделю использую сыворотку Вит С от бьюти оф чосон."
97,499785,"А я тут в золотом яблоке купила себе румяна, мне консультант посоветовала, это корейский люкс какой то. Так вот румяна роскошные!!!! Качество бомба. Они градиентом, но цвет розовый, тушуются шикарно. Очень рекомендую, кто хочет хорошие румяна, а диор разобрали)"
99,499009,"А я прям захотела заступиться за спарклы от Романовой. По пунктам прям:
1. Цена: Романова это все таки наш люкс и 4 спаркла стоят на 20% дороже той же Шик
2. Качество: для того, чтобы спарклы раскрылись и сияли их рекомендуют наносить на влажную базу, клей, супербонд
3. Упаковка: она милая.
Скажу и о минусах:
1. Упаковка не соответствует ожиданиям. Сделали бы лучше черную
2. Поздновато она запустила их, конечно."
100,498913,"Но и не помада)) помада-бальзам с ухаживающими свойствами (как заявлено). Такого паршивого качества помады бальзама надо еще поискать. Рекомендую или заплатить меньше и взять «таящий» корейский, или заплатить больше и взять нарс или диор- вот они супер, и оттенки, и уход. Шанель, кстати, не советую - так себе, хоть не такой ужас, как клиник"
101,498367,"Конечно, отдушки это абсолютно индивидуальная история, но гель для душа и молочко for me date night я просто выбросила 😔 удушающий аромат, который мне потом мерещился некоторое время. Изначально мне напомнил Бабушкин комод или какой-то фрукт, которой начал портиться. Тогда я еще подумала, что это прикольно и необычно, но потом просто начала кружиться голова от него 🥺 рекомендую послушать в магазине перед заказом, очень специфичный аромат"
105,497171,"Golden rose достойный бренд) 
Многие зря недооценивают!
В некоторых странах Азии, где априори нет 💰 на люкс, скупают за секунды GR) так что рекомендую и люблю этот турецкий бренд

(ХАЙЛАЙТЕР И КАРАНДАШИ ДЛЯ ГУБ ОСОБЕННО)
Фиксатор неплохой) беру только от gr с 2019 😸"
107,496568,"Я вот, кстати, кое-что и покупала новое по вашим рекомендациям из этого чатика ❤️
Ещё здесь девушка Даша активничает (которая Гельтек очень любит)), тоже часто что-то интересное советует)

Так что спасибо вам, девушки, за то, что делитесь здесь своими находками и находите время всё это писать и рекомендовать 💋"
109,496366,"Девочки!!! Крайне важный вопрос. Когда-то Оля рекомендовала на канале гидрофильное масло Skinkey. Я купила его и оно было очень годное за свои деньги. А сейчас смотрю - появился тоник, крем с японским скваланом(это словосочетание меня уже возбудило), гель для бровей и глиняная маска. Так вот собственно вопрос: юзал кто уже?"
111,495752,"Мне очень нравятся карандашики от pupa, у них есть матовые стойкие карандаши, я брала какой-то светло розовый - очень красивый, но мне под мой тип макияжа повседневного не совсем подошел, потемнее надо было) На яндекс маркете попробуйте поискать Pupa матовый карандаш для губ rose nude, должен найтись, я с маркета его заказывала с доставкой по клику(тоже рекомендую кстати, типа заказ сперва приезжает на склад лавки возле дома, а оттуда можно вызвать курьера в удобное время, привезет быстренько заказ за 15-20 минут - я просто сама недавно только узнала, что там новый вид доставки)"
114,495143,"У меня она есть, мой первый уход с Вит С.  Брала в октябре, по ощущениям эффект не очень явный и заметный, не быстрый, довольно быстро окислились и сыворотка, и тонер. Не сушит кожу (у меня комби, но постоянно сохнет, если уход не подходит). Я бы не повторила эту линейку, есть и более действенные средства. 
Я бы взяла что-то в виде порошка с Вит С, чтобы в тонер подмешивать и использовать. 
Тут девочки хвалили Вит С от артнфакт (тоже порошок), мне ещё рекомендовали такое средство от Др Алтея."
118,493531,"Мне очень эстетичеки нравится оформление прилодения ЗЯ, НО не хватает фотографий товара и отзывов на него. Чаще всего, на товары, которые мне были интересны, среди них и много тех что рекомендует Оля, одна фотография, а хочется его посмотреть и в закрытом и в открытом виде , и с боку, и в свотче. Приходится самой лезть в интернет и искать свотчи 😣
А про отзывы - очень странно что у них вообще их нет, возможно во избежании необъективных клиентов, но их могли вывести вообще на новый уровень, в качестве мини-блога, отдельной странички.
Например - была бы отдельная ссылка на отзывы от покупателей в этом мини-блоге, переходишь на неё, а там тебе и видео и фото и свотки , и всё что угодно ))"
121,491256,"С розацеа пытаюсь ужиться уже 7-ой год. Пробовала многое... К сожалению, с этой проблемой мало что помогает. Из умывалок однозначно рекомендую именно Bioderma DS+ (не сушит, очищает великолепно, даже с макияжем справляется, успокаивает), для легкого обновления кожи плюс-минус немного работает Aravia Correcting Azelaic Creme (с азелаиновой кислотой), для лечения в стадиях пустул Розамет и Азелик. Также раствор борной кислоты (порошок из аптеки). Никаких скрабов и энзимных пудр не могу применять, т.к. мгновенная реакция ухудшением, что бы ни пробовала, поэтому уже даже не посматриваю в их сторону. Может, что-то из списка будет Вам полезно ❤"
122,491173,"Взяла я этот age 20  по рекомендации риши Крыловой😅. Ну капец. Нафиг она её жирнокожим рекомендует?он походу только для сухой кожи У меня же очень жирная кожа, на т зоне блестит дико. Короче достала я аму, решила пока её использовать, вроде и цвет уже получше на мне выглядит, уже норм, если не наносить много"
123,491023,"Не рекомендую от some by mi **Galactomyces Pure Vitamin C Glow Serum**.  Пользуюсь два месяца с тонером, особого эффекта не вижу. Тонер ощущение что вообще уже окислился((( 

И спасибо за вопрос. Я тут себе рекомендации сохраняю)))"
124,490746,"У всех по-разному. Мне наоборот его рекомендовали как мягкую умывашку. 
Мне good morning от cosrx кожу сушит. Хотя считается мягкой. От round lab cleanser тоже мне сушит кожу, хотя он вообще очень мягкий"
126,490014,"Сама пользуюсь кремом с ретиналем(тоже форма ретинола, действенная как ретинол) в формате крема от Scinic. Ретиналь считается эффективнее ретинола.
Ретинол рекомендую посмотреть у: Medi peel, Anna Sharova(у нее он в липосомах, что хорошо), don’t touch my skin и, говорят, у icon skin хороший
Можно выбрать какой нравится вообще от любой фирмы, но, главное, чтобы в составе было написано - Retinol и не где-то прям в самом конце состава. 
Еще важна концентрация: начинающим лучше начать с маленькой несколько раз в неделю. Производитель должен указать концентрацию в своем продукте. Как правильно  вводить ретинол и повышать концентрацию можно прочитать в интернете. 
Лучше наносить на ночь. Желательно использовать спф при солнечной погоде, если днем куда-то выходить собираетесь.

Еще: во время беременности, подготовки к ней, кормления не нужно применять ретинол. Я читала, что это потому, что влияние ретинола(и его производных) не изучено на плод и ребенка"
